age,workclass,education,marital_status,hours_per_week,income,Sex
46,1,7,1,40,1,1
41,2,14,1,35,1,0
56,1,13,1,65,1,1
39,1,13,1,50,1,1
46,2,16,1,50,1,1
48,3,4,1,40,0,1
35,1,16,1,40,1,1
56,1,10,1,60,1,1
49,2,9,1,60,1,1
61,3,15,1,40,1,1
43,1,9,1,40,1,1
37,1,9,1,50,0,1
43,1,13,1,40,1,1
41,1,9,1,40,1,1
61,0,9,1,40,1,1
30,1,13,1,40,1,1
58,1,10,1,40,1,1
40,1,9,1,40,1,1
44,3,14,1,40,1,1
40,1,13,1,32,1,1
58,1,9,1,40,0,1
48,2,9,1,40,1,1
49,1,9,1,40,0,1
50,1,13,1,50,1,1
43,1,13,1,55,1,1
53,1,9,1,40,1,1
42,1,16,1,50,1,1
56,2,9,1,40,1,1
44,1,13,1,56,1,1
29,1,13,1,50,1,0
35,1,9,1,40,1,1
44,1,9,1,40,1,1
34,3,13,1,48,1,1
42,1,14,1,55,1,1
43,1,13,1,40,1,1
57,1,11,1,45,0,1
50,0,13,1,60,1,1
45,1,10,1,40,1,1
32,1,13,1,60,1,1
33,1,13,1,45,1,1
43,2,10,1,15,1,1
32,1,9,1,50,1,1
36,1,9,1,48,1,1
50,2,9,1,60,1,1
27,1,9,1,45,0,1
60,1,15,1,40,1,1
53,1,14,1,50,1,1
61,3,16,1,40,1,1
32,1,13,1,40,1,1
52,2,13,1,60,1,1
37,1,9,1,55,1,1
33,1,9,1,40,1,0
57,2,16,1,40,1,1
43,1,9,1,99,1,1
50,1,9,1,40,1,1
43,1,10,1,40,1,1
45,1,9,1,40,1,1
37,2,9,1,45,1,1
31,1,14,1,43,1,1
33,1,12,1,50,1,1
56,2,9,1,50,1,1
43,1,10,1,50,1,0
28,0,10,1,40,1,0
52,1,6,1,47,1,1
38,1,13,1,40,1,1
40,3,4,1,40,1,1
57,1,9,1,40,1,1
41,1,10,1,50,1,1
37,1,9,1,50,1,1
42,1,9,1,40,1,1
44,1,14,1,35,1,1
39,1,13,1,50,1,1
53,3,10,1,40,1,0
51,1,10,1,65,1,1
38,1,13,1,50,1,1
43,3,10,1,40,1,1
33,2,12,1,60,1,1
43,1,13,1,40,1,1
35,1,13,1,45,1,1
41,1,10,1,50,1,1
45,1,10,1,40,1,1
59,1,9,1,40,1,1
30,3,14,1,45,1,1
32,3,13,1,45,1,1
39,3,13,1,60,1,1
43,2,13,1,70,1,0
32,1,13,1,55,1,1
39,3,9,1,40,1,1
37,3,13,1,40,1,1
34,1,10,1,40,1,0
46,1,10,1,45,1,1
51,3,16,1,40,1,1
29,1,9,1,55,1,1
34,1,13,1,40,1,0
50,1,10,1,35,1,1
34,1,10,1,40,1,1
58,1,6,1,40,1,1
56,2,3,1,67,1,1
34,2,13,1,48,1,1
36,3,13,1,40,1,1
46,1,9,1,40,1,1
35,1,13,1,50,1,1
50,2,9,1,40,1,1
27,2,13,1,45,1,1
32,1,12,1,40,1,1
44,2,9,1,70,1,1
39,1,9,1,46,1,1
33,1,9,1,20,1,0
59,3,9,1,40,1,1
59,1,10,1,55,1,1
51,3,10,1,40,1,1
37,1,11,1,40,1,1
57,1,9,1,40,1,1
25,1,11,1,40,1,0
54,1,9,1,65,1,1
47,3,10,1,40,1,1
52,3,16,1,70,1,1
40,1,13,1,40,1,1
27,1,13,1,60,1,1
31,1,13,1,40,1,1
41,2,9,1,55,1,1
41,1,9,1,45,1,1
50,1,9,1,55,1,1
36,1,10,1,40,1,1
27,1,9,1,40,1,0
46,1,10,1,40,1,1
61,2,9,1,40,1,1
39,3,13,1,40,1,1
47,1,9,1,45,1,1
45,1,9,1,40,1,1
55,3,9,1,40,1,0
38,2,7,1,45,1,1
57,1,13,1,55,1,1
38,2,6,1,40,1,1
28,1,13,1,40,1,1
40,1,10,1,40,1,1
36,1,13,1,50,1,1
36,1,9,1,60,1,1
30,2,9,1,50,1,1
35,1,9,1,42,1,0
32,2,9,1,60,1,1
55,1,9,1,40,1,1
29,1,9,1,30,1,1
37,2,12,1,40,1,1
36,1,11,1,50,1,1
42,0,14,1,48,1,0
40,3,16,1,50,1,1
26,1,14,1,40,1,1
44,1,14,1,60,1,1
47,1,13,1,40,1,1
35,1,14,1,40,1,1
58,1,10,1,40,1,1
41,2,9,1,55,1,1
41,1,9,1,40,1,1
38,3,16,1,50,1,1
47,2,13,1,40,1,1
39,1,9,1,40,1,1
42,1,10,1,50,1,1
42,1,13,1,40,1,1
37,1,11,1,35,1,0
41,1,13,1,40,1,1
51,1,9,1,40,1,1
50,1,13,1,50,1,1
43,1,6,1,40,1,1
28,1,12,1,70,1,1
35,2,12,1,45,1,1
59,1,9,1,40,1,1
28,1,13,1,40,1,1
42,2,15,1,40,1,1
51,1,14,1,47,1,1
54,1,14,1,44,1,1
45,1,9,1,40,1,1
38,3,13,1,40,1,0
46,3,14,1,40,1,1
33,3,10,1,40,1,1
36,1,13,1,40,1,1
36,3,16,1,50,1,1
61,3,10,1,40,1,1
30,2,9,1,48,1,1
50,1,11,1,36,1,0
58,1,11,1,48,1,1
43,1,13,1,40,1,1
40,1,10,1,68,1,1
55,3,9,1,40,1,1
52,1,13,1,40,1,1
44,2,10,1,55,1,1
39,3,15,1,50,1,1
45,1,13,1,60,1,1
42,2,13,1,40,1,1
29,1,10,1,50,1,1
46,1,10,1,40,1,1
55,1,13,1,40,1,1
33,2,15,1,40,1,1
44,1,10,1,60,1,1
37,1,13,1,47,1,1
64,2,12,1,50,1,1
43,3,14,1,45,1,1
36,1,13,1,35,1,1
55,1,13,1,40,1,1
34,1,9,1,45,1,1
29,1,11,1,48,1,1
37,1,10,1,60,1,1
42,1,13,1,40,1,0
41,2,12,1,40,1,1
45,3,10,1,40,1,1
35,1,9,1,50,1,1
61,1,11,1,60,1,1
49,1,10,1,40,1,1
52,2,9,1,60,1,1
46,3,12,1,50,1,1
23,1,14,1,50,1,1
36,1,10,1,40,1,1
43,3,9,1,40,1,1
35,3,14,1,40,1,1
39,1,9,1,40,1,1
39,1,13,1,40,1,1
47,3,14,1,50,1,1
53,3,10,1,40,1,1
53,1,10,1,45,1,1
26,1,14,3,40,0,0
52,1,9,3,50,0,1
61,1,3,0,56,0,1
28,3,9,3,40,0,1
42,1,14,0,40,0,0
44,3,14,3,42,0,1
51,1,9,2,40,0,1
39,3,9,0,40,0,1
36,3,13,0,44,0,1
45,1,10,0,50,0,1
27,1,13,3,40,0,1
40,3,14,3,35,0,0
25,1,13,3,40,0,0
47,1,9,0,40,0,1
32,1,13,3,50,0,1
53,1,9,2,38,0,0
32,1,10,3,60,0,1
49,1,9,0,40,0,1
27,1,11,3,36,0,0
26,1,13,3,38,0,1
60,2,9,2,50,0,1
56,2,14,0,60,0,1
58,1,12,0,40,0,1
39,1,13,3,50,0,1
53,1,14,0,38,0,0
27,1,10,3,45,0,1
46,3,14,0,60,0,0
30,1,9,3,45,0,1
38,3,9,3,40,0,1
41,1,13,3,40,0,0
27,1,9,3,75,0,1
43,1,13,0,40,0,1
30,3,13,3,40,0,1
25,1,13,3,40,0,0
26,2,13,0,38,0,1
53,3,13,0,54,0,0
39,1,7,0,46,0,1
47,3,10,0,40,0,0
44,1,10,2,55,0,1
61,2,9,1,60,1,1
44,1,12,1,40,1,1
28,1,9,1,42,1,1
34,1,13,1,40,1,1
39,1,13,1,40,1,1
41,1,11,1,48,1,1
35,1,13,1,70,1,1
34,1,9,1,50,1,1
30,1,12,1,50,1,1
30,1,9,1,50,1,1
33,3,13,1,45,1,1
60,0,9,1,40,1,1
31,1,9,1,40,1,1
50,1,9,1,40,1,1
27,1,9,1,45,1,1
37,2,9,1,65,1,1
30,1,9,1,40,1,1
49,1,10,1,44,1,1
52,3,14,1,40,1,0
39,3,8,1,40,1,1
37,1,9,1,48,1,1
39,1,14,1,50,1,1
38,1,13,1,54,1,1
44,1,13,1,40,1,1
45,1,10,1,40,1,1
54,1,9,1,40,1,1
58,1,12,1,40,1,1
36,3,13,1,55,1,1
45,1,5,1,40,1,1
46,3,11,1,40,1,1
41,1,9,1,45,1,1
41,3,14,1,40,1,1
34,1,9,1,50,1,1
33,3,16,1,40,1,1
63,1,13,1,40,1,1
56,1,10,1,50,1,1
48,3,9,1,40,1,0
40,1,12,1,55,1,1
59,1,10,1,45,1,1
32,1,13,1,50,1,1
29,3,13,1,60,1,1
41,1,9,1,40,1,1
30,1,10,1,40,1,1
34,3,14,1,40,1,1
41,1,10,1,65,1,1
46,1,13,1,45,1,1
39,1,14,1,45,1,1
26,1,9,1,60,1,1
27,1,13,1,55,1,1
61,1,13,1,40,1,1
37,1,13,1,40,1,0
67,1,10,1,70,0,1
66,0,10,1,40,1,1
66,2,9,1,10,1,1
74,2,13,1,12,1,1
66,3,9,1,40,1,1
71,2,10,2,2,0,1
80,1,10,3,60,0,1
24,1,9,3,40,0,0
20,0,7,1,40,0,0
28,2,10,3,40,0,1
